date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linenscombo,linel2,linegametime,lineray1,linefox,linedunk,linegirl,linegabe,lineboyd,linemass,linedok,lineblc
11/14/2009,Cleveland,107,Utah,103,13.5,9.1,7.95,8.04,7.88,13.5,7.48,9.8,7.25,.,8.75,9.43,11,14.46,6.94,.,.,.,9.07,.
11/14/2009,Indiana,113,Boston,104,-7,-5.44,-3.39,-2.51,-4.56,-7,-3.26,-5,-9.52,.,-5,-8.69,-1,-5.3,-8.6,.,.,.,-6.37,.
11/14/2009,Memphis,97,Minnesota,87,9,4.31,7.22,7.25,7.19,8,2.14,7.7,-2.65,.,3.5,-0.34,9,10.2,-3.61,.,.,.,7.05,.
11/14/2009,Miami,81,New Jersey,80,13,14.09,18.44,18.68,18.23,13,10.35,13.8,12.6,.,12.75,11.24,13,17.68,14.26,.,.,.,12.43,.
11/14/2009,Milwaukee,129,Golden State,125,8,8.09,11.69,12.56,11,6.5,6.16,5.6,7.62,.,2,19.26,8,6.19,7.13,.,.,.,3.49,.
11/14/2009,San Antonio,98,Oklahoma City,101,8,6.59,3.52,4.5,2.3,8,2.46,11.7,6.78,.,8,5.92,4,7.21,8.08,.,.,.,11.56,.
11/14/2009,Washington,103,Detroit,106,4.5,2.7,1.24,2.44,0,5,1.75,4.7,6.26,.,0.5,7.27,-2,5.99,-0.79,.,.,.,3.58,.
11/15/2009,Detroit,90,Dallas,95,-4.5,-1.3,1.92,2.62,0.97,-5,1.17,0.5,-5.87,.,-1.25,-4.02,-1,-5.36,0.49,.,.,.,-2.57,.
11/15/2009,LA Lakers,91,Houston,101,9,7.27,5.35,8.61,2.78,10,4.2,9,7.1,.,10,5.95,8,10.86,4.72,.,.,.,8.77,.
11/15/2009,Oklahoma City,93,LA Clippers,101,5.5,7.26,14.4,13.47,15.49,6,8.01,8.2,-2.33,.,5.75,2.03,14,4.98,5.68,.,.,.,4.56,.
