,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,game_date,hscore,rscore,date,home,road,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
65,66,"Wed, Nov 5, 2014",Box Score,Atlanta Hawks,92,San Antonio Spurs,94,,,2014-11-05 00:00:00,94,92,11/05/2014,San Antonio,Atlanta,7.5,6.57,3.84,4.47,4.3,8.5,2.85,13.9,2.81,-2.53,17.0,5.09,11.77,5.16,6.45,9.6,7.4,6.45
66,67,"Wed, Nov 5, 2014",Box Score,Cleveland Cavaliers,100,Utah Jazz,102,,,2014-11-05 00:00:00,102,100,11/05/2014,Utah,Cleveland,-5.5,0.87,6.9,4.76,11.64,-6.0,2.32,-6.1,5.75,0.74,-3.0,-4.55,0.55,-4.35,6.37,-16.2,-3.4,11.68
67,68,"Wed, Nov 5, 2014",Box Score,Indiana Pacers,94,Washington Wizards,96,OT,,2014-11-05 00:00:00,96,94,11/05/2014,Washington,Indiana,9.5,8.65,12.6,13.1,10.94,8.5,2.95,11.1,13.66,2.17,11.0,10.93,4.5,9.07,5.96,1.9,9.4,10.51
68,69,"Thu, Nov 6, 2014",Box Score,San Antonio Spurs,81,Houston Rockets,98,,,2014-11-06 00:00:00,98,81,11/06/2014,Houston,San Antonio,7.0,6.14,9.99,10.07,8.82,3.0,5.93,4.2,11.36,12.19,-2.0,5.24,0.56,3.49,9.64,-1.2,2.5,11.32
69,70,"Thu, Nov 6, 2014",Box Score,Dallas Mavericks,87,Portland Trail Blazers,108,,,2014-11-06 00:00:00,108,87,11/06/2014,Portland,Dallas,2.0,1.75,1.2,0.11,0.25,3.0,3.48,2.8,2.72,3.47,2.0,-0.49,1.56,4.06,-1.38,2.1,3.2,1.13
70,71,"Fri, Nov 7, 2014",Box Score,Indiana Pacers,98,Boston Celtics,101,,,2014-11-07 00:00:00,101,98,11/07/2014,Boston,Indiana,5.0,5.43,6.91,6.72,9.15,5.5,3.38,3.0,5.72,11.67,2.0,6.91,,5.92,7.85,-4.4,4.8,6.41
71,72,"Fri, Nov 7, 2014",Box Score,New York Knicks,99,Brooklyn Nets,110,,,2014-11-07 00:00:00,110,99,11/07/2014,Brooklyn,New York,6.0,5.84,7.93,4.99,12.38,5.5,5.38,5.5,8.02,3.86,3.0,7.3,,5.54,4.25,3.1,3.2,7.36
72,73,"Fri, Nov 7, 2014",Box Score,Atlanta Hawks,119,Charlotte Hornets,122,2OT,,2014-11-07 00:00:00,122,119,11/07/2014,Charlotte,Atlanta,1.5,1.71,2.06,2.94,1.76,3.0,1.91,6.2,1.39,-3.65,4.0,-0.07,,-1.0,0.15,4.6,2.0,1.59
73,74,"Fri, Nov 7, 2014",Box Score,Cleveland Cavaliers,110,Denver Nuggets,101,,,2014-11-07 00:00:00,101,110,11/07/2014,Denver,Cleveland,-5.5,-1.26,1.21,1.88,0.74,-4.5,2.85,-3.8,0.81,2.66,0.01,-6.86,,-4.4,-0.28,-11.0,-2.1,0.69
74,75,"Fri, Nov 7, 2014",Box Score,Milwaukee Bucks,95,Detroit Pistons,98,,,2014-11-07 00:00:00,98,95,11/07/2014,Detroit,Milwaukee,5.0,1.92,-0.38,-0.16,-0.9,5.5,1.33,5.3,-0.4,1.23,1.0,0.96,,5.85,-0.7,9.1,4.1,0.57
75,76,"Fri, Nov 7, 2014",Box Score,Memphis Grizzlies,91,Oklahoma City Thunder,89,,,2014-11-07 00:00:00,89,91,11/07/2014,Oklahoma City,Memphis,-7.0,-4.01,-5.61,-7.09,-5.09,-7.5,-2.35,6.9,-5.05,-12.54,-2.0,-7.68,,-4.66,0.61,-4.8,-4.9,-1.9
76,77,"Fri, Nov 7, 2014",Box Score,Minnesota Timberwolves,103,Orlando Magic,112,OT,,2014-11-07 00:00:00,112,103,11/07/2014,Orlando,Minnesota,-4.0,-2.97,-2.62,-2.71,-3.76,-4.0,-0.72,3.6,-1.76,-11.36,-6.0,-7.71,,-2.0,-5.44,0.7,-0.4,-1.34
77,78,"Fri, Nov 7, 2014",Box Score,Chicago Bulls,118,Philadelphia 76ers,115,,,2014-11-07 00:00:00,115,118,11/07/2014,Philadelphia,Chicago,-10.0,-8.66,-7.73,-9.56,-6.22,-11.5,-2.35,-9.4,-7.44,-14.29,-9.0,-14.29,,-7.5,-13.77,-7.7,-9.0,-3.05
78,79,"Fri, Nov 7, 2014",Box Score,Sacramento Kings,114,Phoenix Suns,112,2OT,,2014-11-07 00:00:00,112,114,11/07/2014,Phoenix,Sacramento,5.0,1.78,-2.15,-1.49,-3.32,4.0,1.99,6.0,-2.22,4.75,3.0,0.13,,5.94,1.06,9.5,3.5,-1.73
79,80,"Fri, Nov 7, 2014",Box Score,Washington Wizards,84,Toronto Raptors,103,,,2014-11-07 00:00:00,103,84,11/07/2014,Toronto,Washington,3.0,4.91,4.95,3.83,6.3,4.5,4.85,3.8,4.92,13.29,3.0,3.34,,3.8,8.45,0.7,3.0,4.53
80,81,"Fri, Nov 7, 2014",Box Score,Dallas Mavericks,105,Utah Jazz,82,,,2014-11-07 00:00:00,82,105,11/07/2014,Utah,Dallas,-2.5,-1.68,0.02,0.27,0.08,-3.5,0.37,-4.0,-0.44,-4.38,-4.0,-3.96,,0.97,-2.48,-4.2,-2.7,0.95
81,82,"Sat, Nov 8, 2014",Box Score,New York Knicks,96,Atlanta Hawks,103,,,2014-11-08 00:00:00,103,96,11/08/2014,Atlanta,New York,6.5,6.12,7.23,4.91,10.55,6.0,5.86,4.0,7.43,7.4,3.0,7.17,3.11,9.4,9.94,-2.5,5.4,8.9
82,83,"Sat, Nov 8, 2014",Box Score,Boston Celtics,106,Chicago Bulls,101,,,2014-11-08 00:00:00,101,106,11/08/2014,Chicago,Boston,9.0,7.68,6.96,8.47,4.49,10.0,5.91,14.7,7.3,3.33,10.0,6.59,8.9,7.96,5.54,12.0,9.4,3.6
83,84,"Sat, Nov 8, 2014",Box Score,Golden State Warriors,98,Houston Rockets,87,,,2014-11-08 00:00:00,87,98,11/08/2014,Houston,Golden State,1.0,2.94,2.6,3.24,1.57,4.5,3.89,5.5,3.95,9.99,3.0,-0.4,3.27,0.68,1.57,-0.3,2.6,2.93
84,85,"Sat, Nov 8, 2014",Box Score,Washington Wizards,97,Indiana Pacers,90,,,2014-11-08 00:00:00,90,97,11/08/2014,Indiana,Washington,-3.5,-1.06,-2.2,-4.71,-0.42,-3.0,1.02,-0.3,-1.44,-1.71,-2.0,-5.35,0.54,-3.42,0.78,3.3,-2.6,2.62
85,86,"Sat, Nov 8, 2014",Box Score,Portland Trail Blazers,102,Los Angeles Clippers,106,,,2014-11-08 00:00:00,106,102,11/08/2014,LA Clippers,Portland,4.5,0.9,-1.7,0.78,-4.28,3.5,1.17,6.1,-3.04,-1.88,1.0,-2.33,4.98,5.7,1.82,5.0,1.7,-1.55
